Ref,PosX,PosY,Side,Rot
C1,144.93,-113.5,top,180
C2,145.28,-121.5,top,180
C3,142.700001,-124.7,top,90
C4,145.28,-115.25,top,180
C5,145.28,-120.25,top,180
C6,145.28,-119,top,180
C7,145.68,-111.75,top,180
C8,149.45,-112.95,top,90
C9,153.4,-112.5,top,90
C10,157.3,-117.3,top,0
C11,153.2,-123.45,top,-90
C12,150.6,-124.8,top,-90
C13,174.3,-142.7,top,-90
C14,148,-103.5,top,0
C15,167.25,-147.5,top,0
C16,167.25,-143.5,top,0
C17,159.15,-120.7,top,90
C18,162.2,-116.8,top,180
D1,164.6,-93.8,top,180
D2,164.6,-91.499999,top,180
D3,164.6,-89.2,top,180
D4,164.6,-86.899999,top,180
D5,164.5875,-84.6,top,180
D6,164.5875,-82.299999,top,180
D7,164.5875,-80.000002,top,180
D8,164.5875,-77.7,top,180
D9,164.5875,-75.4,top,180
D10,164.5875,-73.1,top,180
D11,164.5875,-70.799999,top,180
D12,164.5875,-68.5,top,180
D13,168,-140.45,top,0
D14,163.75,-138.075,top,-90
J1,125.985,-134.8,top,-90
J2,155,-128.6,top,180
J3,174.4,-133.475,top,180
J4,166.3,-114.9,top,180
L1,172.012499,-140,top,180
R1,145.5,-134.875,top,90
R2,144,-134.875,top,-90
R3,145.28,-117.75,top,180
R4,145.28,-116.5,top,180
R5,171.2,-101.6,top,90
R6,169.6,-101.6,top,90
R7,168,-101.6,top,90
R8,166.4,-101.6,top,90
R9,164.8,-101.6,top,90
R10,163.2,-101.6,top,90
R11,161.6,-101.6,top,90
R12,160,-101.6,top,90
R13,158.4,-101.6,top,90
R14,156.8,-101.6,top,90
R15,155.2,-101.6,top,90
R16,153.6,-101.6,top,90
R17,167.25,-145.5,top,0
R18,170.7125,-146,top,0
R19,165.25,-138.075,top,-90
R20,160.5,-115.8,top,-90
SW1,142.5,-148.15,top,180
U1,146.2,-128.45,top,90
U2,152.2,-118.2,top,90
U3,171.1375,-143.2,top,0
U4,158,-145.6,top,180
U5,148,-106.8,top,90
Y1,161.45,-119.4,top,-90
